FIPS,State,County,PopChangeRate1718,PopChangeRate1018,TotalPopEst2018,NetMigrationRate1018,NaturalChangeRate1018,Net_International_Migration_Rate_2010_2018,PopChangeRate0010,NetMigrationRate0010,NaturalChangeRate0010,Immigration_Rate_2000_2010,PopDensity2010,Under18Pct2010,Age65AndOlderPct2010,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010,NonHispanicWhitePopChangeRate0010,NonHispanicBlackPopChangeRate0010,NonHispanicAsianPopChangeRate0010,NonHispanicNativeAmericanPopChangeRate0010,HispanicPopChangeRate0010,MultipleRacePopChangeRate0010,WhiteNonHispanicNum2010,BlackNonHispanicNum2010,AsianNonHispanicNum2010,NativeAmericanNonHispanicNum2010,HispanicNum2010,MultipleRaceNum2010,ForeignBornPct,ForeignBornEuropePct,ForeignBornMexPct,NonEnglishHHPct,Ed1LessThanHSPct,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,AvgHHSize,FemaleHHPct,HH65PlusAlonePct,OwnHomePct,Ed5CollegePlusNum,Ed3SomeCollegeNum,Ed2HSDiplomaOnlyNum,Ed1LessThanHSNum,TotalPop25Plus,ForeignBornAfricaPct,TotalPopACS,TotalOccHU,ForeignBornAsiaPct,Ed4AssocDegreeNum,ForeignBornNum,HH65PlusAloneNum,OwnHomeNum,FemaleHHNum,TotalHH,NonEnglishHHNum,ForeignBornCentralSouthAmPct,ForeignBornCentralSouthAmNum,ForeignBornCaribPct,ForeignBornCaribNum,ForeignBornAfricaNum,ForeignBornAsiaNum,ForeignBornMexNum,ForeignBornEuropeNum,Age65AndOlderNum2010,TotalPop2010,LandAreaSQMiles2010,Under18Num2010,Net_International_Migration_2000_2010,NaturalChangeNum0010,NetMigrationNum0010,TotalPopEst2012,TotalPopEst2013,TotalPopEst2010,TotalPopEst2014,TotalPopEst2011,Net_International_Migration_2010_2018,NaturalChange1018,TotalPopEst2015,TotalPopEst2016,TotalPopEst2017,NetMigration1018,TotalPopEstBase2010
1000,AL,Alabama,0.26,2.14,4887871,0.84,1.3,0.77,7.48,3.3,3.3,1.222930915,94.38,23.69,13.76,67.04,26.04,1.11,0.54,3.88,1.49,2.51,8.2,70.83,19.84,144.76,61.28,3204402,1244437,52937,25907,185602,71251,3.461841427,0.375259933,1.078220349,1.149407953,14.68148593,30.90214143,21.73582243,8.156075879,24.52447433,2.55,14.77684811,11.20841064,68.57437544,803578,712204,1012551,481059,3276637,0.16997298,4850771,1856695,1.091207975,267245,167926,208106,1273217,274361,1856695,21341,1.596715244,77453,0.137792528,6684,8245,52932,52302,18203,657792,4779736,50645.33,1132459,54447,147019.5,147119,4815564,4830460,4785448,4842481,4798834,36623,62441,4853160,4864745,4875120,39982,4780138
1001,AL,Autauga,0.28,1.55,55601,0.28,1.26,0.06,24.96,11.87,5.46,-0.010222394,91.8,26.78,12,77.25,17.58,0.86,0.4,2.4,1.59,21.05,29.17,140.72,16.67,114.75,114.57,42154,9595,467,217,1310,869,2.113162294,0.337960608,0.506940911,0.750451221,12.29969802,33.63440977,21.47346084,7.628478929,24.96395244,2.59,11.40875843,11.38026028,73.2877363,9176,7893,12363,4521,36757,0,55036,21054,0.848535504,2804,1163,2396,15430,2402,21054,158,0.654117305,360,0.158078349,87,0,467,279,186,6546,54571,594.44,14613,-4.5,2403.5,5224,54936,54713,54754,54876,55208,32,692,54838,55242,55443,155,54574
1003,AL,Baldwin,2.54,19.07,218022,18.14,0.93,0.74,29.8,26.17,3.32,1.584454727,114.65,22.99,16.77,83.5,9.31,0.74,0.63,4.38,1.49,25.92,18.17,152.35,52.19,224.09,85.74,152200,16966,1340,1146,7992,2723,3.248426436,0.741542093,0.716463415,0.901054733,9.786606256,27.80761002,22.04276265,9.620897484,30.74212359,2.63,9.426923936,12.84594066,72.85933826,43968,31526,39771,13997,143022,0.071302124,203360,76133,0.594512195,13760,6606,9780,55470,7177,76133,686,1.26622738,2575,0.440597954,896,145,1209,1457,1508,30568,182265,1589.78,41898,2239.5,4686.5,36984,190143,194886,183111,199189,186540,1364,1697,202995,207712,212619,33214,182264
1005,AL,Barbour,-1.1,-8.96,24881,-8.27,-0.69,0.14,-5.44,-4.8,2.29,1.828364639,31.03,21.91,14.24,46.75,46.69,0.39,0.22,5.05,0.94,-13.19,-4.11,28.92,-49.58,190.17,21.7,12837,12820,107,60,1387,258,2.660203809,0.316781802,1.312926988,0.816015668,26.90680265,35.52674406,18.19464034,7.339698383,12.03211457,2.54,19.36677184,13.85050593,62.50680013,2218,3354,6549,4960,18434,0,26201,9191,0.423647952,1353,697,1273,5745,1780,9191,75,1.862524331,488,0.030533186,8,0,111,344,83,3909,27457,884.88,6015,530.5,664,-1393,27174,26944,27330,26758,27350,38,-188,26294,25819,25158,-2261,27457
1007,AL,Bibb,-0.69,-2.06,22400,-2.25,0.19,0.49,10.03,6.43,2.1,0.341485462,36.81,22.7,12.68,75.02,21.92,0.1,0.28,1.77,0.89,8.32,9.6,29.41,39.13,93.33,89.72,17191,5024,22,64,406,203,1.023029229,0.035429584,0.159433127,0.563909774,17.86367362,43.87414087,19.79948294,5.239926855,13.22277571,2.97,14.87854251,10.56969346,75.36148062,2097,3140,6958,2833,15859,0,22580,6916,0,831,231,731,5212,1029,6916,39,0.952170062,215,0.035429584,8,0,0,36,8,2906,22915,622.58,5201,68,417.5,1280,22664,22516,22872,22541,22747,111,43,22562,22576,22555,-515,22920
1009,AL,Blount,0.02,0.81,57840,-0.04,0.86,0.27,12.34,12.27,3.14,2.07701489,88.9,24.61,14.72,88.89,1.26,0.2,0.5,8.07,1.19,8.41,21.07,64.29,34.43,70.2,31.79,50952,724,115,285,4626,684,4.545060433,0.270518668,3.560095028,1.536974384,20.21532616,32.27359088,21.86447118,12.54464851,13.10196327,2.76,9.777670372,10.28999517,78.52102465,5172,8631,12740,7980,39475,0.100577453,57667,20690,0.228900411,4952,2621,2129,16246,2023,20690,318,3.766452217,2172,0.138727522,80,58,132,2053,156,8439,57322,644.78,14106,1061.5,1606,6268.5,57570,57611,57373,57521,57554,156,491,57522,57517,57827,-24,57321
1011,AL,Bullock,-0.37,-6.8,10138,-7.46,0.65,0.38,-6.83,-9.13,3.2,3.661169156,17.52,22.26,13.46,21.92,69.97,0.18,0.18,7.12,0.79,-13.46,-10,-4.76,-45.95,141.3,4.88,2392,7637,20,20,777,86,1.832410765,0.171788509,0,2.207084469,28.64307984,36.58668836,17.03944693,4.310695405,13.42008947,2.74,27.19346049,12.45231608,70.02724796,990,1257,2699,2113,7377,0.629891201,10478,3670,0.353120825,318,192,457,2570,998,3670,81,0.21950754,23,0.458102691,48,66,37,0,18,1469,10914,622.8,2430,424,371,-1057.5,10607,10551,10878,10665,10677,41,71,10400,10381,10176,-811,10911
1013,AL,Butler,-1.1,-6.03,19680,-5.17,-0.86,0.6,-2.11,-6.67,-0.25,0.206330598,26.96,24.14,16.66,54.06,43.19,0.83,0.28,0.91,0.77,-8.89,4.34,411.76,34.09,33.57,91.67,11324,9047,174,59,191,161,1.048395111,0.044718275,0.064593064,0.723404255,18.94970626,40.38544204,16.64994985,7.873620863,16.14128099,2.81,17.29078014,12.42553191,70.07092199,2253,2324,5637,2645,13958,0,20126,7050,0.939083772,1099,211,876,4940,1219,7050,51,0.064593064,13,0,0,0,189,13,9,3489,20947,776.83,5056,44,-52.5,-1423,20687,20374,20942,20343,20878,125,-180,20176,20029,19898,-1082,20943
1015,AL,Calhoun,-0.34,-3.54,114277,-3.03,-0.52,0.39,5.63,1.48,1.62,0.714793709,195.71,22.88,14.33,73.61,20.39,0.7,0.4,3.28,1.67,-0.36,16.66,32.8,12.41,122.08,82.7,87285,24177,830,480,3893,1975,2.614973123,0.470019995,0.876851299,0.827069336,16.78252612,32.21272555,25.75245331,7.382082938,17.87021209,2.49,16.72764363,11.21310894,69.39178252,14113,20338,25440,13254,78975,0.098678231,115527,45099,0.790291447,5830,3021,5057,31295,7544,45099,373,1.117487687,1291,0.068382283,79,114,913,1013,543,16990,118572,605.87,27126,794,1800.5,1645,117257,116541,118477,115995,117797,460,-612,115536,115018,114664,-3588,118594
1017,AL,Chambers,-0.42,-1.49,33615,-0.1,-1.38,0.6,-6.47,-4.84,-1.17,0.664460912,57.36,22.51,16.68,58.14,38.6,0.49,0.17,1.57,1.13,-10.03,-4.8,144.12,16.33,91.43,84.21,19893,13206,166,57,536,385,1.301076855,0.032453164,0.286177902,0.635314736,19.14507553,38.43784286,21.55878133,7.532281205,13.32601907,2.44,16.02161531,13.14444282,66.47436834,3158,5109,9109,4537,23698,0.082608054,33895,13694,0.876235433,1785,441,1800,9103,2194,13694,87,0.286177902,97,0.023602301,8,28,297,97,11,5706,34215,596.53,7703,243,-428,-1771.5,34104,34143,34122,33980,34030,205,-472,34007,33771,33758,-35,34171
